course_code_section,category,course_name,credits,theory_practice,course_capacity_basis,applied_total,applied_1,applied_2,applied_3,applied_4,applied_reserve,limit_total,limit_1,limit_2,limit_3,limit_4,professor,schedule_room,eligible_grade_department,opened_department,exchange_allowed,core_competency,lecture_method,class_operation,online_solution,exam_method,exam_datetime,exam_place,exam_note,plan_year,plan_term,plan_subject_no,plan_division,plan_action_mode,query_grade_code,query_title
학수번호(분반),구분,과목명,학점,이론(실습),설강기준,신청인원,제한인원,담당교수,시간표(강의실),수강가능학년학과,개설학과,교류허용,핵심기초역량,강의진행방식,수업운영방식,비대면솔루션,시험정보,,,,,,,,,,,,,,,,,,0,2026 - 1 학기 기초교양-미래설계
전체,1,2,3,4,예비수강,전체,1,2,3,4,방식,시험일시,시험장소,시험안내,,,,,,,,,,,,,,,,,,,,,0,2026 - 1 학기 기초교양-미래설계
GEA8001(00),기초교양,대학생활의설계(CDP-C),1,1(0),30,2144,1791,175,105,73,145,2950,2500,200,150,100,"박상희,강사",,1 2 3 4전학과,교양,Y,지역형리더,원격수업,동영상,미사용,,,,,2026,1,GEA8001,00,R,0,2026 - 1 학기 기초교양-미래설계
GEA8001(01),기초교양,대학생활의설계(CDP-C)(거창캠퍼스 및 남해캠퍼스 소속학생만 수강신청 가능),1,1(0),5,5,5,0,0,0,0,1000,500,500,0,0,"박상희,강사",,1 2전학과,교양,Y,지역형리더,원격수업,동영상,미사용,,,,,2026,1,GEA8001,01,R,0,2026 - 1 학기 기초교양-미래설계
GEA8810(00),기초교양,인공지능시대의파이썬프로그래밍,3,3(0),30,40,40,0,0,0,1,40,40,0,0,0,박동규,"화8B(T98202),화9A,화9B,목7A(T98202),목7B,목8A,",1 학과확인,교양,Y,창의적사고,일반강의,대면,미사용,,,T98202,,2026,1,GEA8810,00,R,1,2026 - 1 학기 기초교양-AI융합기초
GEA8810(01),기초교양,인공지능시대의파이썬프로그래밍,3,3(0),30,40,40,0,0,0,0,40,40,0,0,0,최정인,"화5B(4101),화6A,화6B,목4A(4101),목4B,목5A,",1 학과확인,교양,Y,창의적사고,일반강의,대면,미사용,,,전산101,,2026,1,GEA8810,01,R,1,2026 - 1 학기 기초교양-AI융합기초
GEA8810(02),기초교양,인공지능시대의파이썬프로그래밍,3,3(0),30,39,38,1,0,0,1,40,40,0,0,0,송치호,"금1A(4101),금1B,금2A,금2B,금3A,금3B,",1 2 3 4 학과확인,교양,Y,창의적사고,일반강의,대면,미사용,,,4101,,2026,1,GEA8810,02,R,1,2026 - 1 학기 기초교양-AI융합기초
GEA8811(00),기초교양,인문사회계열을위한인공지능입문,3,3(0),30,40,40,0,0,0,0,40,40,0,0,0,이용직,"화1A(4101),화1B,화2A,목2B(4101),목3A,목3B,",1 학과확인,교양,Y,창의적사고,일반강의,대면,줌,대면,2026.04.21(화) 09:00,전산101,,2026,1,GEA8811,00,R,1,2026 - 1 학기 기초교양-AI융합기초
GEA8811(01),기초교양,인문사회계열을위한인공지능입문,3,3(0),30,40,40,0,0,0,1,40,40,0,0,0,이용직,"화2B(4101),화3A,화3B,목1A(4101),목1B,목2A,",1 학과확인,교양,Y,창의적사고,일반강의,대면,줌,대면,2026.04.21(화) 10:30,전산101,시험 안내사항은 다시 공지예정,2026,1,GEA8811,01,R,1,2026 - 1 학기 기초교양-AI융합기초
GEA8811(02),기초교양,인문사회계열을위한인공지능입문,3,3(0),30,39,39,0,0,0,0,40,40,0,0,0,이석주,"월5B(4101),월6A,월6B,수4A(4101),수4B,수5A,",1 학과확인,교양,Y,창의적사고,일반강의,대면,미사용,,,4101,,2026,1,GEA8811,02,R,1,2026 - 1 학기 기초교양-AI융합기초
GEA8811(03),기초교양,인문사회계열을위한인공지능입문,3,3(0),30,40,40,0,0,0,1,40,40,0,0,0,김다정,"월2B(4101),월3A,월3B,수1A(4101),수1B,수2A,",1 학과확인,교양,Y,창의적사고,일반강의,대면,미사용,,,4101,,2026,1,GEA8811,03,R,1,2026 - 1 학기 기초교양-AI융합기초
GEA8811(04),기초교양,인문사회계열을위한인공지능입문,3,3(0),30,40,40,0,0,0,0,40,40,0,0,0,송치호,"금4A(4101),금4B,금5A,금5B,금6A,금6B,",1 학과확인,교양,Y,창의적사고,일반강의,대면,미사용,,,4101,,2026,1,GEA8811,04,R,1,2026 - 1 학기 기초교양-AI융합기초
GEA8812(00),기초교양,자연공학계열을위한인공지능입문,3,3(0),30,40,40,0,0,0,0,40,40,0,0,0,심성현,"월4A(4101),월4B,월5A,수5B(4101),수6A,수6B,",1 학과확인,교양,Y,,일반강의,대면,미사용,,,,,2026,1,GEA8812,00,R,1,2026 - 1 학기 기초교양-AI융합기초
GEA8812(01),기초교양,자연공학계열을위한인공지능입문,3,3(0),30,40,40,0,0,0,0,40,40,0,0,0,이상근,"화4A(4101),화4B,화5A,목5B(4101),목6A,목6B,",1 학과확인,교양,Y,창의적사고,일반강의,대면,미사용,,,4101,,2026,1,GEA8812,01,R,1,2026 - 1 학기 기초교양-AI융합기초
GEA8812(02),기초교양,자연공학계열을위한인공지능입문★,3,3(0),30,40,40,0,0,0,0,40,40,0,0,0,김중락,"월7A(4101),월7B,월8A,수8B(4101),수9A,수9B,",1 학과확인,교양,Y,창의적사고,일반강의,대면,미사용,,,4101,,2026,1,GEA8812,02,R,1,2026 - 1 학기 기초교양-AI융합기초
